Társasjáték neve;Társasjáték ID;Az alapjáték, ha kiegészítő lenne;Az alapjáték iD-ja;A Játék nyelve;A játék nyelvüggetlen;Van hozzá magyar szabály;Minimális játékosszám;Maximális játékosszám
;226;;;;;;;
;227;;;;;;;
;228;;;;;;;
;229;;;;;;;
;230;;;;;;;
;231;;;;;;;
;232;;;;;;;
;233;;;;;;;
;234;;;;;;;
;235;;;;;;;
;236;;;;;;;
;237;;;;;;;
;238;;;;;;;
;239;;;;;;;
;240;;;;;;;
;241;;;;;;;
;242;;;;;;;
;243;;;;;;;
;244;;;;;;;
;245;;;;;;;
;246;;;;;;;
;247;;;;;;;
;248;;;;;;;
;249;;;;;;;
;250;;;;;;;
;251;;;;;;;
;252;;;;;;;
;253;;;;;;;
;254;;;;;;;
;255;;;;;;;
;256;;;;;;;
;257;;;;;;;
;258;;;;;;;
;259;;;;;;;
;260;;;;;;;
;261;;;;;;;
;262;;;;;;;
;263;;;;;;;
;264;;;;;;;
;265;;;;;;;
;266;;;;;;;
;267;;;;;;;
;268;;;;;;;
;269;;;;;;;
;270;;;;;;;
;271;;;;;;;
;272;;;;;;;
;273;;;;;;;
;274;;;;;;;
;275;;;;;;;
;276;;;;;;;
;277;;;;;;;
;278;;;;;;;
;279;;;;;;;
;280;;;;;;;
;281;;;;;;;
;282;;;;;;;
;283;;;;;;;
;284;;;;;;;
;285;;;;;;;
;286;;;;;;;
;287;;;;;;;
;288;;;;;;;
;289;;;;;;;
;290;;;;;;;
;291;;;;;;;
;292;;;;;;;
;293;;;;;;;
;294;;;;;;;
;295;;;;;;;
;296;;;;;;;
;297;;;;;;;
;298;;;;;;;
;299;;;;;;;
;300;;;;;;;
